network_id,node_from,node_to,link_type,link_direction,link_value,link_units,taxonomy_name_from,taxonomy_rank_from,kingdom_from,taxonomy_name_to,taxonomy_rank_to,kingdom_to
mangal_929,mangal_node_2250,mangal_node_2261,mutualism,directed,1368,visits,Centris aenea,species,Animalia,Diplopterys pubipetala,species,Plantae
mangal_929,mangal_node_2250,mangal_node_2262,mutualism,directed,924,visits,Centris aenea,species,Animalia,Byrsonima gardnerana,NA,Plantae
mangal_929,mangal_node_2250,mangal_node_2263,mutualism,directed,396,visits,Centris aenea,species,Animalia,Banisteriopsis muricata,species,Plantae
mangal_929,mangal_node_2250,mangal_node_2264,mutualism,directed,764,visits,Centris aenea,species,Animalia,Heteropterys,genus,Plantae
mangal_929,mangal_node_2250,mangal_node_2264,mutualism,directed,740,visits,Centris aenea,species,Animalia,Heteropterys,genus,Plantae
mangal_929,mangal_node_2250,mangal_node_2265,mutualism,directed,556,visits,Centris aenea,species,Animalia,Dicella bracteosa,species,Plantae
mangal_929,mangal_node_2250,mangal_node_2266,mutualism,directed,604,visits,Centris aenea,species,Animalia,Carolus chasei,species,Plantae
mangal_929,mangal_node_2250,mangal_node_2267,mutualism,directed,504,visits,Centris aenea,species,Animalia,Stigmaphyllon paralias,species,Plantae
mangal_929,mangal_node_2250,mangal_node_2268,mutualism,directed,292,visits,Centris aenea,species,Animalia,Banisteriopsis stellaris,species,Plantae
mangal_929,mangal_node_2250,mangal_node_2269,mutualism,directed,228,visits,Centris aenea,species,Animalia,Banisteriopsis schizoptera,species,Plantae
mangal_929,mangal_node_2250,mangal_node_2270,mutualism,directed,240,visits,Centris aenea,species,Animalia,Stigmaphyllon auriculatum,species,Plantae
mangal_929,mangal_node_2250,mangal_node_2271,mutualism,directed,268,visits,Centris aenea,species,Animalia,Stigmaphyllon ciliatum,species,Plantae
mangal_929,mangal_node_2250,mangal_node_2272,mutualism,directed,188,visits,Centris aenea,species,Animalia,Janusia anisandra,species,Plantae
mangal_929,mangal_node_2251,mangal_node_2261,mutualism,directed,1364,visits,Centris fuscata,species,Animalia,Diplopterys pubipetala,species,Plantae
mangal_929,mangal_node_2251,mangal_node_2262,mutualism,directed,320,visits,Centris fuscata,species,Animalia,Byrsonima gardnerana,NA,Plantae
mangal_929,mangal_node_2251,mangal_node_2263,mutualism,directed,468,visits,Centris fuscata,species,Animalia,Banisteriopsis muricata,species,Plantae
mangal_929,mangal_node_2251,mangal_node_2264,mutualism,directed,680,visits,Centris fuscata,species,Animalia,Heteropterys,genus,Plantae
mangal_929,mangal_node_2251,mangal_node_2264,mutualism,directed,656,visits,Centris fuscata,species,Animalia,Heteropterys,genus,Plantae
mangal_929,mangal_node_2251,mangal_node_2265,mutualism,directed,512,visits,Centris fuscata,species,Animalia,Dicella bracteosa,species,Plantae
mangal_929,mangal_node_2251,mangal_node_2266,mutualism,directed,452,visits,Centris fuscata,species,Animalia,Carolus chasei,species,Plantae
mangal_929,mangal_node_2251,mangal_node_2267,mutualism,directed,816,visits,Centris fuscata,species,Animalia,Stigmaphyllon paralias,species,Plantae
mangal_929,mangal_node_2251,mangal_node_2268,mutualism,directed,300,visits,Centris fuscata,species,Animalia,Banisteriopsis stellaris,species,Plantae
mangal_929,mangal_node_2251,mangal_node_2269,mutualism,directed,224,visits,Centris fuscata,species,Animalia,Banisteriopsis schizoptera,species,Plantae
mangal_929,mangal_node_2251,mangal_node_2270,mutualism,directed,164,visits,Centris fuscata,species,Animalia,Stigmaphyllon auriculatum,species,Plantae
mangal_929,mangal_node_2251,mangal_node_2271,mutualism,directed,196,visits,Centris fuscata,species,Animalia,Stigmaphyllon ciliatum,species,Plantae
mangal_929,mangal_node_2251,mangal_node_2272,mutualism,directed,244,visits,Centris fuscata,species,Animalia,Janusia anisandra,species,Plantae
mangal_929,mangal_node_2252,mangal_node_2261,mutualism,directed,740,visits,Centris caxiensis,species,Animalia,Diplopterys pubipetala,species,Plantae
mangal_929,mangal_node_2252,mangal_node_2262,mutualism,directed,2108,visits,Centris caxiensis,species,Animalia,Byrsonima gardnerana,NA,Plantae
mangal_929,mangal_node_2252,mangal_node_2263,mutualism,directed,108,visits,Centris caxiensis,species,Animalia,Banisteriopsis muricata,species,Plantae
mangal_929,mangal_node_2252,mangal_node_2264,mutualism,directed,528,visits,Centris caxiensis,species,Animalia,Heteropterys,genus,Plantae
mangal_929,mangal_node_2252,mangal_node_2264,mutualism,directed,528,visits,Centris caxiensis,species,Animalia,Heteropterys,genus,Plantae
mangal_929,mangal_node_2252,mangal_node_2265,mutualism,directed,356,visits,Centris caxiensis,species,Animalia,Dicella bracteosa,species,Plantae
mangal_929,mangal_node_2252,mangal_node_2266,mutualism,directed,432,visits,Centris caxiensis,species,Animalia,Carolus chasei,species,Plantae
mangal_929,mangal_node_2252,mangal_node_2268,mutualism,directed,244,visits,Centris caxiensis,species,Animalia,Banisteriopsis stellaris,species,Plantae
